-0.409398,-0.961697
-0.430513,-0.943135
-0.451562,-0.923973
-0.472540,-0.904244
-0.493445,-0.883985
-0.514274,-0.863228
-0.535023,-0.842008
-0.555689,-0.820360
-0.576268,-0.798318
-0.596758,-0.775916
-0.617154,-0.753188
-0.637454,-0.730169
-0.657654,-0.706893
-0.677752,-0.683395
-0.697742,-0.659709
-0.717623,-0.635868
-0.737391,-0.611909
-0.757042,-0.587864
-0.776574,-0.563768
-0.795982,-0.539655
-0.815264,-0.515560
-0.834417,-0.491518
-0.853436,-0.467561
-0.872319,-0.443726
-0.891062,-0.420045
-0.909662,-0.396554
-0.928116,-0.373287
-0.946420,-0.350278
-0.964572,-0.327561
-0.982567,-0.305171
-1.000402,-0.283142
-1.018074,-0.261508
-1.035580,-0.240296
-1.052918,-0.219504
-1.070085,-0.199119
-1.087080,-0.179131
-1.103901,-0.159530
-1.120545,-0.140304
-1.137010,-0.121442
-1.153295,-0.102935
-1.169398,-0.084770
-1.185315,-0.066937
-1.201046,-0.049425
-1.216589,-0.032223
-1.231940,-0.015321
-1.247099,0.001293
-1.262063,0.017629
-1.276831,0.033698
-1.291399,0.049511
-1.305767,0.065079
-1.319931,0.080413
-1.333891,0.095524
-1.347644,0.110422
-1.361187,0.125118
-1.374520,0.139623
-1.387639,0.153949
-1.400543,0.168105
-1.413230,0.182104
-1.425698,0.195954
-1.437945,0.209669
-1.449968,0.223257
-1.461766,0.236731
-1.473337,0.250101
-1.484678,0.263378
-1.495788,0.276572
-1.506665,0.289696
-1.517306,0.302758
-1.527709,0.315771
-1.537873,0.328745
-1.547795,0.341692
-1.557474,0.354621
-1.566907,0.367544
-1.576092,0.380471
-1.585028,0.393415
-1.593712,0.406384
-1.602142,0.419391
-1.610316,0.432445
-1.618232,0.445559
-1.625889,0.458743
-1.633283,0.472007
-1.640414,0.485362
-1.647278,0.498820
-1.653875,0.512389
-1.660204,0.526065
-1.666264,0.539845
-1.672057,0.553724
-1.677580,0.567696
-1.682836,0.581756
-1.687823,0.595899
-1.692542,0.610121
-1.696992,0.624416
-1.701173,0.638780
-1.705085,0.653208
-1.708729,0.667694
-1.712104,0.682233
-1.715210,0.696821
-1.718046,0.711453
-1.720614,0.726124
-1.722912,0.740828
-1.724942,0.755561
-1.726701,0.770318
-1.728192,0.785093
-1.729413,0.799883
-1.730364,0.814681
-1.731046,0.829483
-1.731458,0.844285
-1.731601,0.859080
-1.731473,0.873864
-1.731076,0.888632
-1.730409,0.903379
-1.729471,0.918101
-1.728264,0.932791
-1.726786,0.947446
-1.725038,0.962059
-1.723020,0.976627
-1.720731,0.991145
-1.718172,1.005606
-1.715342,1.020007
-1.712242,1.034342
-1.708871,1.048607
-1.705229,1.062796
-1.701316,1.076904
-1.697133,1.090927
-1.692678,1.104859
-1.687953,1.118696
-1.682956,1.132433
-1.677688,1.146064
-1.672149,1.159585
-1.666338,1.172990
-1.660257,1.186275
-1.653903,1.199435
-1.647278,1.212464
-1.640382,1.225359
-1.633217,1.238114
-1.625784,1.250726
-1.618087,1.263190
-1.610127,1.275503
-1.601908,1.287660
-1.593431,1.299658
-1.584698,1.311492
-1.575713,1.323159
-1.566476,1.334653
-1.556992,1.345972
-1.547261,1.357110
-1.537286,1.368065
-1.527070,1.378831
-1.516615,1.389406
-1.505923,1.399784
-1.494996,1.409961
-1.483838,1.419935
-1.472449,1.429700
-1.460833,1.439252
-1.448992,1.448588
-1.436928,1.457704
-1.424644,1.466594
-1.412141,1.475256
-1.399422,1.483685
-1.386490,1.491877
-1.373346,1.499828
-1.359994,1.507534
-1.346434,1.514991
-1.332671,1.522195
-1.318706,1.529141
-1.304540,1.535826
-1.290178,1.542246
-1.275621,1.548396
-1.260870,1.554273
-1.245930,1.559872
-1.230801,1.565190
-1.215487,1.570222
-1.199989,1.574964
-1.184311,1.579412
-1.168453,1.583562
-1.152419,1.587410
-1.136211,1.590953
-1.119831,1.594185
-1.103282,1.597103
-1.086565,1.599702
-1.069684,1.601980
-1.052640,1.603930
-1.035436,1.605551
-1.018074,1.606837
-1.000556,1.607784
-0.982886,1.608389
-0.965064,1.608646
-0.947094,1.608553
-0.928977,1.608106
-0.910717,1.607299
-0.892315,1.606129
-0.873774,1.604592
-0.855095,1.602684
-0.836282,1.600401
-0.817337,1.597739
-0.798262,1.594693
-0.779059,1.591260
-0.759731,1.587435
-0.740279,1.583215
-0.720707,1.578595
-0.701017,1.573571
-0.681210,1.568140
-0.661290,1.562296
-0.641258,1.556037
-0.621117,1.549358
-0.600869,1.542255
-0.580517,1.534724
-0.560063,1.526761
-0.539508,1.518361
-0.518857,1.509522
-0.498110,1.500237
-0.477270,1.490505
-0.456340,1.480320
-0.435321,1.469678
-0.414217,1.458576
-0.393029,1.447009
-0.371760,1.434973
-0.350412,1.422464
-0.328987,1.409479
-0.307488,1.396012
-0.285917,1.382061
-0.264276,1.367620
-0.242568,1.352686
-0.220795,1.337255
-0.198959,1.321322
-0.177063,1.304885
-0.155109,1.287937
-0.133099,1.270477
-0.111036,1.252498
-0.088922,1.233998
-0.066759,1.214973
-0.044549,1.195417
-0.022295,1.175328
-0.000000,1.154701
