x,BSpline1,f_exact(x)
1.60000000,0.32000000,0.28089888
1.65000000,0.30500000,0.26863667
1.70000000,0.29000000,0.25706941
1.75000000,0.27500000,0.24615385
1.80000000,0.26000000,0.23584906
1.85000000,0.24500000,0.22611645
1.90000000,0.23000000,0.21691974
1.95000000,0.21500000,0.20822488
2.00000000,0.20000000,0.20000000
2.05000000,0.19500000,0.19221528
2.10000000,0.19000000,0.18484288
2.15000000,0.18500000,0.17785683
2.20000000,0.18000000,0.17123288
2.25000000,0.17500000,0.16494845
2.30000000,0.17000000,0.15898251
2.35000000,0.16500000,0.15331545
2.40000000,0.16000000,0.14792899
2.45000000,0.15500000,0.14280614
2.50000000,0.15000000,0.13793103
2.55000000,0.14500000,0.13328890
2.60000000,0.14000000,0.12886598
2.65000000,0.13500000,0.12464942
2.70000000,0.13000000,0.12062726
2.75000000,0.12500000,0.11678832
2.80000000,0.12000000,0.11312217
2.85000000,0.11500000,0.10961907
2.90000000,0.11000000,0.10626993
2.95000000,0.10500000,0.10306622
3.00000000,0.10000000,0.10000000
3.05000000,0.09794118,0.09706382
3.10000000,0.09588235,0.09425071
3.15000000,0.09382353,0.09155413
3.20000000,0.09176471,0.08896797
3.25000000,0.08970588,0.08648649
3.30000000,0.08764706,0.08410429
3.35000000,0.08558824,0.08181632
3.40000000,0.08352941,0.07961783
3.45000000,0.08147059,0.07750436
3.50000000,0.07941176,0.07547170
3.55000000,0.07735294,0.07351590
3.60000000,0.07529412,0.07163324
3.65000000,0.07323529,0.06982021
3.70000000,0.07117647,0.06807352
3.75000000,0.06911765,0.06639004
3.80000000,0.06705882,0.06476684
3.85000000,0.06500000,0.06320114
3.90000000,0.06294118,0.06169031
3.95000000,0.06088235,0.06023189
4.00000000,0.05882353,0.05882353
4.05000000,0.05780543,0.05746301
4.10000000,0.05678733,0.05614823
4.15000000,0.05576923,0.05487721
4.20000000,0.05475113,0.05364807
4.25000000,0.05373303,0.05245902
4.30000000,0.05271493,0.05130836
4.35000000,0.05169683,0.05019450
4.40000000,0.05067873,0.04911591
4.45000000,0.04966063,0.04807115
4.50000000,0.04864253,0.04705882
4.55000000,0.04762443,0.04607764
4.60000000,0.04660633,0.04512635
4.65000000,0.04558824,0.04420378
4.70000000,0.04457014,0.04330879
4.75000000,0.04355204,0.04244032
4.80000000,0.04253394,0.04159734
4.85000000,0.04151584,0.04077888
4.90000000,0.04049774,0.03998401
4.95000000,0.03947964,0.03921184
5.00000000,0.03846154,0.03846154
