x,BSpline3_NATURAL,BSpline3_COMPLETE,BSpline3_NOT_A_KNOT,BSpline3_SECOND,f_exact(x)
-0.28750000,0.32611407,0.32611407,0.32611407,0.32611407,0.32611465
-0.28500000,0.32996399,0.32996399,0.32996399,0.32996399,0.32996494
-0.28250000,0.33387105,0.33387105,0.33387105,0.33387105,0.33387240
-0.28000000,0.33783610,0.33783610,0.33783610,0.33783610,0.33783784
-0.27750000,0.34185996,0.34185996,0.34185996,0.34185996,0.34186208
-0.27500000,0.34594348,0.34594348,0.34594348,0.34594348,0.34594595
-0.27250000,0.35008749,0.35008749,0.35008749,0.35008749,0.35009026
-0.27000000,0.35429283,0.35429283,0.35429283,0.35429283,0.35429584
-0.26750000,0.35856034,0.35856034,0.35856034,0.35856034,0.35856350
-0.26500000,0.36289086,0.36289086,0.36289086,0.36289086,0.36289408
-0.26250000,0.36728521,0.36728521,0.36728521,0.36728521,0.36728838
-0.26000000,0.37174424,0.37174424,0.37174424,0.37174424,0.37174721
-0.25750000,0.37626879,0.37626879,0.37626879,0.37626879,0.37627139
-0.25500000,0.38085969,0.38085969,0.38085969,0.38085969,0.38086170
-0.25250000,0.38551778,0.38551778,0.38551778,0.38551778,0.38551894
-0.25000000,0.39024390,0.39024390,0.39024390,0.39024390,0.39024390
-0.24750000,0.39503884,0.39503884,0.39503884,0.39503884,0.39503734
-0.24500000,0.39990323,0.39990323,0.39990323,0.39990323,0.39990002
-0.24250000,0.40483765,0.40483765,0.40483765,0.40483765,0.40483269
-0.24000000,0.40984267,0.40984267,0.40984267,0.40984267,0.40983607
-0.23750000,0.41491888,0.41491888,0.41491888,0.41491888,0.41491086
-0.23500000,0.42006686,0.42006686,0.42006686,0.42006686,0.42005776
-0.23250000,0.42528720,0.42528720,0.42528720,0.42528720,0.42527743
-0.23000000,0.43058047,0.43058047,0.43058047,0.43058047,0.43057051
-0.22750000,0.43594725,0.43594725,0.43594725,0.43594725,0.43593761
-0.22500000,0.44138812,0.44138812,0.44138812,0.44138812,0.44137931
-0.22250000,0.44690368,0.44690368,0.44690368,0.44690368,0.44689617
-0.22000000,0.45249449,0.45249449,0.45249449,0.45249449,0.45248869
-0.21750000,0.45816114,0.45816114,0.45816114,0.45816114,0.45815735
-0.21500000,0.46390421,0.46390421,0.46390421,0.46390421,0.46390258
-0.21250000,0.46972428,0.46972428,0.46972428,0.46972428,0.46972477
-0.21000000,0.47562194,0.47562194,0.47562194,0.47562194,0.47562426
-0.20750000,0.48159775,0.48159775,0.48159775,0.48159775,0.48160132
-0.20500000,0.48765232,0.48765232,0.48765232,0.48765232,0.48765620
-0.20250000,0.49378620,0.49378620,0.49378620,0.49378620,0.49378906
-0.20000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
-0.19750000,0.50629404,0.50629404,0.50629404,0.50629404,0.50628906
-0.19500000,0.51266769,0.51266769,0.51266769,0.51266769,0.51265620
-0.19250000,0.51912005,0.51912005,0.51912005,0.51912005,0.51910131
-0.19000000,0.52565026,0.52565026,0.52565026,0.52565026,0.52562418
-0.18750000,0.53225743,0.53225743,0.53225743,0.53225743,0.53222453
-0.18500000,0.53894068,0.53894068,0.53894068,0.53894068,0.53890199
-0.18250000,0.54569912,0.54569912,0.54569912,0.54569912,0.54565607
-0.18000000,0.55253187,0.55253187,0.55253187,0.55253187,0.55248619
-0.17750000,0.55943805,0.55943805,0.55943805,0.55943805,0.55939166
-0.17500000,0.56641678,0.56641678,0.56641678,0.56641678,0.56637168
-0.17250000,0.57346717,0.57346717,0.57346717,0.57346717,0.57342532
-0.17000000,0.58058834,0.58058834,0.58058834,0.58058834,0.58055152
-0.16750000,0.58777942,0.58777942,0.58777942,0.58777942,0.58774910
-0.16500000,0.59503951,0.59503951,0.59503951,0.59503951,0.59501673
-0.16250000,0.60236773,0.60236773,0.60236773,0.60236773,0.60235294
-0.16000000,0.60976321,0.60976321,0.60976321,0.60976321,0.60975610
-0.15750000,0.61722506,0.61722506,0.61722506,0.61722506,0.61722442
-0.15500000,0.62475239,0.62475239,0.62475239,0.62475239,0.62475595
-0.15250000,0.63234434,0.63234434,0.63234434,0.63234434,0.63234858
-0.15000000,0.64000000,0.64000000,0.64000000,0.64000000,0.64000000
-0.14750000,0.64771786,0.64771786,0.64771786,0.64771786,0.64770772
-0.14500000,0.65549383,0.65549383,0.65549383,0.65549383,0.65546907
-0.14250000,0.66332317,0.66332317,0.66332317,0.66332317,0.66328117
-0.14000000,0.67120115,0.67120115,0.67120115,0.67120115,0.67114094
-0.13750000,0.67912303,0.67912303,0.67912303,0.67912303,0.67904509
-0.13500000,0.68708408,0.68708408,0.68708408,0.68708408,0.68699012
-0.13250000,0.69507956,0.69507956,0.69507956,0.69507956,0.69497231
-0.13000000,0.70310474,0.70310474,0.70310474,0.70310474,0.70298770
-0.12750000,0.71115488,0.71115488,0.71115488,0.71115488,0.71103211
-0.12500000,0.71922525,0.71922525,0.71922525,0.71922525,0.71910112
-0.12250000,0.72731112,0.72731112,0.72731112,0.72731112,0.72719009
-0.12000000,0.73540775,0.73540775,0.73540775,0.73540775,0.73529412
-0.11750000,0.74351040,0.74351040,0.74351040,0.74351040,0.74340806
-0.11500000,0.75161435,0.75161435,0.75161435,0.75161435,0.75152654
-0.11250000,0.75971485,0.75971485,0.75971485,0.75971485,0.75964392
-0.11000000,0.76780717,0.76780717,0.76780717,0.76780717,0.76775432
-0.10750000,0.77588659,0.77588659,0.77588659,0.77588659,0.77585162
-0.10500000,0.78394835,0.78394835,0.78394835,0.78394835,0.78392945
-0.10250000,0.79198773,0.79198773,0.79198773,0.79198773,0.79198119
-0.10000000,0.80000000,0.80000000,0.80000000,0.80000000,0.80000000
-0.09750000,0.80797966,0.80797966,0.80797966,0.80797966,0.80797879
-0.09500000,0.81591816,0.81591816,0.81591816,0.81591816,0.81591025
-0.09250000,0.82380623,0.82380623,0.82380623,0.82380623,0.82378685
-0.09000000,0.83163455,0.83163455,0.83163455,0.83163455,0.83160083
-0.08750000,0.83939383,0.83939383,0.83939383,0.83939383,0.83934426
-0.08500000,0.84707478,0.84707478,0.84707478,0.84707478,0.84700900
-0.08250000,0.85466809,0.85466809,0.85466809,0.85466809,0.85458673
-0.08000000,0.86216448,0.86216448,0.86216448,0.86216448,0.86206897
-0.07750000,0.86955463,0.86955463,0.86955463,0.86955463,0.86944709
-0.07500000,0.87682927,0.87682927,0.87682927,0.87682927,0.87671233
-0.07250000,0.88397908,0.88397908,0.88397908,0.88397908,0.88385582
-0.07000000,0.89099478,0.89099478,0.89099478,0.89099478,0.89086860
-0.06750000,0.89786706,0.89786706,0.89786706,0.89786706,0.89774162
-0.06500000,0.90458663,0.90458663,0.90458663,0.90458663,0.90446580
-0.06250000,0.91114419,0.91114419,0.91114419,0.91114419,0.91103203
-0.06000000,0.91753044,0.91753044,0.91753044,0.91753044,0.91743119
-0.05750000,0.92373610,0.92373610,0.92373610,0.92373610,0.92365421
-0.05500000,0.92975185,0.92975185,0.92975185,0.92975185,0.92969204
-0.05250000,0.93556841,0.93556841,0.93556841,0.93556841,0.93553574
-0.05000000,0.94117647,0.94117647,0.94117647,0.94117647,0.94117647
-0.04750000,0.94656734,0.94656734,0.94656734,0.94656734,0.94660553
-0.04500000,0.95173469,0.95173469,0.95173469,0.95173469,0.95181440
-0.04250000,0.95667280,0.95667280,0.95667280,0.95667280,0.95679474
-0.04000000,0.96137595,0.96137595,0.96137595,0.96137595,0.96153846
-0.03750000,0.96583841,0.96583841,0.96583841,0.96583841,0.96603774
-0.03500000,0.97005446,0.97005446,0.97005446,0.97005446,0.97028502
-0.03250000,0.97401837,0.97401837,0.97401837,0.97401837,0.97427310
-0.03000000,0.97772442,0.97772442,0.97772442,0.97772442,0.97799511
-0.02750000,0.98116688,0.98116688,0.98116688,0.98116688,0.98144456
-0.02500000,0.98434003,0.98434003,0.98434003,0.98434003,0.98461538
-0.02250000,0.98723814,0.98723814,0.98723814,0.98723814,0.98750193
-0.02000000,0.98985550,0.98985550,0.98985550,0.98985550,0.99009901
-0.01750000,0.99218636,0.99218636,0.99218636,0.99218636,0.99240192
-0.01500000,0.99422502,0.99422502,0.99422502,0.99422502,0.99440646
-0.01250000,0.99596575,0.99596575,0.99596575,0.99596575,0.99610895
-0.01000000,0.99740281,0.99740281,0.99740281,0.99740281,0.99750623
-0.00750000,0.99853049,0.99853049,0.99853049,0.99853049,0.99859572
-0.00500000,0.99934307,0.99934307,0.99934307,0.99934307,0.99937539
-0.00250000,0.99983481,0.99983481,0.99983481,0.99983481,0.99984377
0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
0.00250000,0.99983481,0.99983481,0.99983481,0.99983481,0.99984377
0.00500000,0.99934307,0.99934307,0.99934307,0.99934307,0.99937539
0.00750000,0.99853049,0.99853049,0.99853049,0.99853049,0.99859572
0.01000000,0.99740281,0.99740281,0.99740281,0.99740281,0.99750623
0.01250000,0.99596575,0.99596575,0.99596575,0.99596575,0.99610895
0.01500000,0.99422502,0.99422502,0.99422502,0.99422502,0.99440646
0.01750000,0.99218636,0.99218636,0.99218636,0.99218636,0.99240192
0.02000000,0.98985550,0.98985550,0.98985550,0.98985550,0.99009901
0.02250000,0.98723814,0.98723814,0.98723814,0.98723814,0.98750193
0.02500000,0.98434003,0.98434003,0.98434003,0.98434003,0.98461538
0.02750000,0.98116688,0.98116688,0.98116688,0.98116688,0.98144456
0.03000000,0.97772442,0.97772442,0.97772442,0.97772442,0.97799511
0.03250000,0.97401837,0.97401837,0.97401837,0.97401837,0.97427310
0.03500000,0.97005446,0.97005446,0.97005446,0.97005446,0.97028502
0.03750000,0.96583841,0.96583841,0.96583841,0.96583841,0.96603774
0.04000000,0.96137595,0.96137595,0.96137595,0.96137595,0.96153846
0.04250000,0.95667280,0.95667280,0.95667280,0.95667280,0.95679474
0.04500000,0.95173469,0.95173469,0.95173469,0.95173469,0.95181440
0.04750000,0.94656734,0.94656734,0.94656734,0.94656734,0.94660553
0.05000000,0.94117647,0.94117647,0.94117647,0.94117647,0.94117647
0.05250000,0.93556841,0.93556841,0.93556841,0.93556841,0.93553574
0.05500000,0.92975185,0.92975185,0.92975185,0.92975185,0.92969204
0.05750000,0.92373610,0.92373610,0.92373610,0.92373610,0.92365421
0.06000000,0.91753044,0.91753044,0.91753044,0.91753044,0.91743119
0.06250000,0.91114419,0.91114419,0.91114419,0.91114419,0.91103203
0.06500000,0.90458663,0.90458663,0.90458663,0.90458663,0.90446580
0.06750000,0.89786706,0.89786706,0.89786706,0.89786706,0.89774162
0.07000000,0.89099478,0.89099478,0.89099478,0.89099478,0.89086860
0.07250000,0.88397908,0.88397908,0.88397908,0.88397908,0.88385582
0.07500000,0.87682927,0.87682927,0.87682927,0.87682927,0.87671233
0.07750000,0.86955463,0.86955463,0.86955463,0.86955463,0.86944709
0.08000000,0.86216448,0.86216448,0.86216448,0.86216448,0.86206897
0.08250000,0.85466809,0.85466809,0.85466809,0.85466809,0.85458673
0.08500000,0.84707478,0.84707478,0.84707478,0.84707478,0.84700900
0.08750000,0.83939383,0.83939383,0.83939383,0.83939383,0.83934426
0.09000000,0.83163455,0.83163455,0.83163455,0.83163455,0.83160083
0.09250000,0.82380623,0.82380623,0.82380623,0.82380623,0.82378685
0.09500000,0.81591816,0.81591816,0.81591816,0.81591816,0.81591025
0.09750000,0.80797966,0.80797966,0.80797966,0.80797966,0.80797879
0.10000000,0.80000000,0.80000000,0.80000000,0.80000000,0.80000000
0.10250000,0.79198773,0.79198773,0.79198773,0.79198773,0.79198119
0.10500000,0.78394835,0.78394835,0.78394835,0.78394835,0.78392945
0.10750000,0.77588659,0.77588659,0.77588659,0.77588659,0.77585162
0.11000000,0.76780717,0.76780717,0.76780717,0.76780717,0.76775432
0.11250000,0.75971485,0.75971485,0.75971485,0.75971485,0.75964392
0.11500000,0.75161435,0.75161435,0.75161435,0.75161435,0.75152654
0.11750000,0.74351040,0.74351040,0.74351040,0.74351040,0.74340806
0.12000000,0.73540775,0.73540775,0.73540775,0.73540775,0.73529412
0.12250000,0.72731112,0.72731112,0.72731112,0.72731112,0.72719009
0.12500000,0.71922525,0.71922525,0.71922525,0.71922525,0.71910112
0.12750000,0.71115488,0.71115488,0.71115488,0.71115488,0.71103211
0.13000000,0.70310474,0.70310474,0.70310474,0.70310474,0.70298770
0.13250000,0.69507956,0.69507956,0.69507956,0.69507956,0.69497231
0.13500000,0.68708408,0.68708408,0.68708408,0.68708408,0.68699012
0.13750000,0.67912303,0.67912303,0.67912303,0.67912303,0.67904509
0.14000000,0.67120115,0.67120115,0.67120115,0.67120115,0.67114094
0.14250000,0.66332317,0.66332317,0.66332317,0.66332317,0.66328117
0.14500000,0.65549383,0.65549383,0.65549383,0.65549383,0.65546907
0.14750000,0.64771786,0.64771786,0.64771786,0.64771786,0.64770772
0.15000000,0.64000000,0.64000000,0.64000000,0.64000000,0.64000000
0.15250000,0.63234434,0.63234434,0.63234434,0.63234434,0.63234858
0.15500000,0.62475239,0.62475239,0.62475239,0.62475239,0.62475595
0.15750000,0.61722506,0.61722506,0.61722506,0.61722506,0.61722442
0.16000000,0.60976321,0.60976321,0.60976321,0.60976321,0.60975610
0.16250000,0.60236773,0.60236773,0.60236773,0.60236773,0.60235294
0.16500000,0.59503951,0.59503951,0.59503951,0.59503951,0.59501673
0.16750000,0.58777942,0.58777942,0.58777942,0.58777942,0.58774910
0.17000000,0.58058834,0.58058834,0.58058834,0.58058834,0.58055152
0.17250000,0.57346717,0.57346717,0.57346717,0.57346717,0.57342532
0.17500000,0.56641678,0.56641678,0.56641678,0.56641678,0.56637168
0.17750000,0.55943805,0.55943805,0.55943805,0.55943805,0.55939166
0.18000000,0.55253187,0.55253187,0.55253187,0.55253187,0.55248619
0.18250000,0.54569912,0.54569912,0.54569912,0.54569912,0.54565607
0.18500000,0.53894068,0.53894068,0.53894068,0.53894068,0.53890199
0.18750000,0.53225743,0.53225743,0.53225743,0.53225743,0.53222453
0.19000000,0.52565026,0.52565026,0.52565026,0.52565026,0.52562418
0.19250000,0.51912005,0.51912005,0.51912005,0.51912005,0.51910131
0.19500000,0.51266769,0.51266769,0.51266769,0.51266769,0.51265620
0.19750000,0.50629404,0.50629404,0.50629404,0.50629404,0.50628906
0.20000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
0.20250000,0.49378620,0.49378620,0.49378620,0.49378620,0.49378906
0.20500000,0.48765232,0.48765232,0.48765232,0.48765232,0.48765620
0.20750000,0.48159775,0.48159775,0.48159775,0.48159775,0.48160132
0.21000000,0.47562194,0.47562194,0.47562194,0.47562194,0.47562426
0.21250000,0.46972428,0.46972428,0.46972428,0.46972428,0.46972477
0.21500000,0.46390421,0.46390421,0.46390421,0.46390421,0.46390258
0.21750000,0.45816114,0.45816114,0.45816114,0.45816114,0.45815735
0.22000000,0.45249449,0.45249449,0.45249449,0.45249449,0.45248869
0.22250000,0.44690368,0.44690368,0.44690368,0.44690368,0.44689617
0.22500000,0.44138812,0.44138812,0.44138812,0.44138812,0.44137931
0.22750000,0.43594725,0.43594725,0.43594725,0.43594725,0.43593761
0.23000000,0.43058047,0.43058047,0.43058047,0.43058047,0.43057051
0.23250000,0.42528720,0.42528720,0.42528720,0.42528720,0.42527743
0.23500000,0.42006686,0.42006686,0.42006686,0.42006686,0.42005776
0.23750000,0.41491888,0.41491888,0.41491888,0.41491888,0.41491086
0.24000000,0.40984267,0.40984267,0.40984267,0.40984267,0.40983607
0.24250000,0.40483765,0.40483765,0.40483765,0.40483765,0.40483269
0.24500000,0.39990323,0.39990323,0.39990323,0.39990323,0.39990002
0.24750000,0.39503884,0.39503884,0.39503884,0.39503884,0.39503734
0.25000000,0.39024390,0.39024390,0.39024390,0.39024390,0.39024390
0.25250000,0.38551778,0.38551778,0.38551778,0.38551778,0.38551894
0.25500000,0.38085969,0.38085969,0.38085969,0.38085969,0.38086170
0.25750000,0.37626879,0.37626879,0.37626879,0.37626879,0.37627139
0.26000000,0.37174424,0.37174424,0.37174424,0.37174424,0.37174721
0.26250000,0.36728521,0.36728521,0.36728521,0.36728521,0.36728838
0.26500000,0.36289086,0.36289086,0.36289086,0.36289086,0.36289408
0.26750000,0.35856034,0.35856034,0.35856034,0.35856034,0.35856350
0.27000000,0.35429283,0.35429283,0.35429283,0.35429283,0.35429584
0.27250000,0.35008749,0.35008749,0.35008749,0.35008749,0.35009026
0.27500000,0.34594348,0.34594348,0.34594348,0.34594348,0.34594595
0.27750000,0.34185996,0.34185996,0.34185996,0.34185996,0.34186208
0.28000000,0.33783610,0.33783610,0.33783610,0.33783610,0.33783784
0.28250000,0.33387105,0.33387105,0.33387105,0.33387105,0.33387240
0.28500000,0.32996399,0.32996399,0.32996399,0.32996399,0.32996494
0.28750000,0.32611407,0.32611407,0.32611407,0.32611407,0.32611465
0.29000000,0.32232045,0.32232045,0.32232045,0.32232045,0.32232071
0.29250000,0.31858230,0.31858230,0.31858230,0.31858230,0.31858231
0.29500000,0.31489879,0.31489879,0.31489879,0.31489879,0.31489864
0.29750000,0.31126907,0.31126907,0.31126907,0.31126907,0.31126891
0.30000000,0.30769231,0.30769231,0.30769231,0.30769231,0.30769231
0.30250000,0.30416769,0.30416769,0.30416769,0.30416769,0.30416805
0.30500000,0.30069447,0.30069447,0.30069447,0.30069447,0.30069536
0.30750000,0.29727195,0.29727195,0.29727195,0.29727195,0.29727345
0.31000000,0.29389941,0.29389941,0.29389941,0.29389941,0.29390154
0.31250000,0.29057613,0.29057613,0.29057613,0.29057613,0.29057889
0.31500000,0.28730141,0.28730141,0.28730141,0.28730141,0.28730472
0.31750000,0.28407453,0.28407453,0.28407453,0.28407453,0.28407830
0.32000000,0.28089477,0.28089477,0.28089477,0.28089477,0.28089888
0.32250000,0.27776143,0.27776143,0.27776143,0.27776143,0.27776572
0.32500000,0.27467378,0.27467378,0.27467378,0.27467378,0.27467811
0.32750000,0.27163113,0.27163113,0.27163113,0.27163113,0.27163533
0.33000000,0.26863274,0.26863274,0.26863274,0.26863274,0.26863667
0.33250000,0.26567791,0.26567791,0.26567791,0.26567791,0.26568143
0.33500000,0.26276593,0.26276593,0.26276593,0.26276593,0.26276893
0.33750000,0.25989608,0.25989608,0.25989608,0.25989608,0.25989848
0.34000000,0.25706765,0.25706765,0.25706765,0.25706765,0.25706941
0.34250000,0.25427993,0.25427993,0.25427993,0.25427993,0.25428106
0.34500000,0.25153219,0.25153219,0.25153219,0.25153219,0.25153278
0.34750000,0.24882374,0.24882374,0.24882374,0.24882374,0.24882392
0.35000000,0.24615385,0.24615385,0.24615385,0.24615385,0.24615385
0.35250000,0.24352184,0.24352184,0.24352184,0.24352184,0.24352194
0.35500000,0.24092715,0.24092715,0.24092715,0.24092715,0.24092757
0.35750000,0.23836925,0.23836925,0.23836925,0.23836925,0.23837014
0.36000000,0.23584762,0.23584762,0.23584762,0.23584762,0.23584906
0.36250000,0.23336171,0.23336171,0.23336171,0.23336171,0.23336372
0.36500000,0.23091100,0.23091100,0.23091100,0.23091100,0.23091355
0.36750000,0.22849496,0.22849496,0.22849496,0.22849496,0.22849798
0.37000000,0.22611306,0.22611306,0.22611306,0.22611306,0.22611645
0.37250000,0.22376477,0.22376477,0.22376477,0.22376477,0.22376840
0.37500000,0.22144956,0.22144956,0.22144956,0.22144956,0.22145329
0.37750000,0.21916689,0.21916689,0.21916689,0.21916689,0.21917058
0.38000000,0.21691624,0.21691624,0.21691624,0.21691624,0.21691974
0.38250000,0.21469708,0.21469708,0.21469708,0.21469708,0.21470026
0.38500000,0.21250887,0.21250887,0.21250887,0.21250887,0.21251162
0.38750000,0.21035109,0.21035109,0.21035109,0.21035109,0.21035333
0.39000000,0.20822320,0.20822320,0.20822320,0.20822320,0.20822488
0.39250000,0.20612468,0.20612468,0.20612468,0.20612468,0.20612580
0.39500000,0.20405499,0.20405499,0.20405499,0.20405499,0.20405561
0.39750000,0.20201361,0.20201361,0.20201361,0.20201361,0.20201383
0.40000000,0.20000000,0.20000000,0.20000000,0.20000000,0.20000000
0.40250000,0.19801366,0.19801366,0.19801366,0.19801366,0.19801368
0.40500000,0.19605418,0.19605418,0.19605418,0.19605418,0.19605441
0.40750000,0.19412120,0.19412120,0.19412120,0.19412120,0.19412175
0.41000000,0.19221433,0.19221433,0.19221433,0.19221433,0.19221528
0.41250000,0.19033319,0.19033319,0.19033319,0.19033319,0.19033457
0.41500000,0.18847742,0.18847742,0.18847742,0.18847742,0.18847921
0.41750000,0.18664662,0.18664662,0.18664662,0.18664662,0.18664878
0.42000000,0.18484044,0.18484044,0.18484044,0.18484044,0.18484288
0.42250000,0.18305848,0.18305848,0.18305848,0.18305848,0.18306113
0.42500000,0.18130038,0.18130038,0.18130038,0.18130038,0.18130312
0.42750000,0.17956576,0.17956576,0.17956576,0.17956576,0.17956847
0.43000000,0.17785423,0.17785423,0.17785423,0.17785423,0.17785683
0.43250000,0.17616543,0.17616543,0.17616543,0.17616543,0.17616780
0.43500000,0.17449898,0.17449898,0.17449898,0.17449898,0.17450104
0.43750000,0.17285449,0.17285449,0.17285449,0.17285449,0.17285618
0.44000000,0.17123161,0.17123161,0.17123161,0.17123161,0.17123288
0.44250000,0.16962993,0.16962993,0.16962993,0.16962993,0.16963079
0.44500000,0.16804910,0.16804910,0.16804910,0.16804910,0.16804957
0.44750000,0.16648873,0.16648873,0.16648873,0.16648873,0.16648891
0.45000000,0.16494845,0.16494845,0.16494845,0.16494845,0.16494845
0.45250000,0.16342790,0.16342790,0.16342790,0.16342790,0.16342790
0.45500000,0.16192680,0.16192680,0.16192680,0.16192680,0.16192693
0.45750000,0.16044488,0.16044488,0.16044488,0.16044488,0.16044524
0.46000000,0.15898187,0.15898187,0.15898187,0.15898187,0.15898251
0.46250000,0.15753752,0.15753752,0.15753752,0.15753752,0.15753846
0.46500000,0.15611156,0.15611156,0.15611156,0.15611156,0.15611279
0.46750000,0.15470373,0.15470373,0.15470373,0.15470373,0.15470521
0.47000000,0.15331375,0.15331375,0.15331375,0.15331375,0.15331545
0.47250000,0.15194138,0.15194137,0.15194137,0.15194137,0.15194321
0.47500000,0.15058633,0.15058633,0.15058633,0.15058633,0.15058824
0.47750000,0.14924835,0.14924835,0.14924835,0.14924835,0.14925025
0.48000000,0.14792718,0.14792718,0.14792718,0.14792718,0.14792899
0.48250000,0.14662255,0.14662255,0.14662255,0.14662255,0.14662421
0.48500000,0.14533419,0.14533419,0.14533419,0.14533419,0.14533563
0.48750000,0.14406184,0.14406184,0.14406184,0.14406184,0.14406303
0.49000000,0.14280525,0.14280525,0.14280525,0.14280525,0.14280614
0.49250000,0.14156413,0.14156413,0.14156413,0.14156413,0.14156473
0.49500000,0.14033823,0.14033823,0.14033823,0.14033823,0.14033857
0.49750000,0.13912729,0.13912729,0.13912729,0.13912729,0.13912741
0.50000000,0.13793103,0.13793103,0.13793103,0.13793103,0.13793103
0.50250000,0.13674922,0.13674922,0.13674922,0.13674922,0.13674921
0.50500000,0.13558165,0.13558165,0.13558165,0.13558165,0.13558173
0.50750000,0.13442812,0.13442812,0.13442812,0.13442812,0.13442836
0.51000000,0.13328847,0.13328847,0.13328847,0.13328847,0.13328890
0.51250000,0.13216250,0.13216250,0.13216250,0.13216250,0.13216314
0.51500000,0.13105003,0.13105003,0.13105003,0.13105003,0.13105086
0.51750000,0.12995086,0.12995086,0.12995086,0.12995086,0.12995188
0.52000000,0.12886482,0.12886482,0.12886482,0.12886482,0.12886598
0.52250000,0.12779172,0.12779172,0.12779172,0.12779172,0.12779298
0.52500000,0.12673137,0.12673137,0.12673137,0.12673137,0.12673267
0.52750000,0.12568358,0.12568358,0.12568358,0.12568358,0.12568488
0.53000000,0.12464818,0.12464818,0.12464818,0.12464818,0.12464942
0.53250000,0.12362497,0.12362497,0.12362497,0.12362497,0.12362611
0.53500000,0.12261377,0.12261377,0.12261377,0.12261377,0.12261476
0.53750000,0.12161439,0.12161439,0.12161439,0.12161439,0.12161520
0.54000000,0.12062665,0.12062665,0.12062665,0.12062665,0.12062726
0.54250000,0.11965035,0.11965035,0.11965035,0.11965035,0.11965077
0.54500000,0.11868533,0.11868533,0.11868533,0.11868533,0.11868556
0.54750000,0.11773138,0.11773138,0.11773138,0.11773138,0.11773146
0.55000000,0.11678832,0.11678832,0.11678832,0.11678832,0.11678832
0.55250000,0.11585598,0.11585598,0.11585598,0.11585598,0.11585598
0.55500000,0.11493421,0.11493421,0.11493421,0.11493421,0.11493427
0.55750000,0.11402289,0.11402289,0.11402289,0.11402289,0.11402305
0.56000000,0.11312188,0.11312188,0.11312188,0.11312188,0.11312217
0.56250000,0.11223104,0.11223104,0.11223104,0.11223104,0.11223148
0.56500000,0.11135025,0.11135025,0.11135025,0.11135025,0.11135082
0.56750000,0.11047937,0.11047937,0.11047937,0.11047937,0.11048007
0.57000000,0.10961828,0.10961828,0.10961828,0.10961828,0.10961907
0.57250000,0.10876683,0.10876683,0.10876683,0.10876683,0.10876770
0.57500000,0.10792491,0.10792491,0.10792491,0.10792491,0.10792580
0.57750000,0.10709236,0.10709236,0.10709236,0.10709236,0.10709325
0.58000000,0.10626907,0.10626907,0.10626907,0.10626907,0.10626993
0.58250000,0.10545490,0.10545490,0.10545490,0.10545490,0.10545568
0.58500000,0.10464972,0.10464972,0.10464972,0.10464972,0.10465040
0.58750000,0.10385340,0.10385340,0.10385340,0.10385340,0.10385396
0.59000000,0.10306580,0.10306580,0.10306580,0.10306580,0.10306622
0.59250000,0.10228679,0.10228679,0.10228679,0.10228679,0.10228708
0.59500000,0.10151624,0.10151624,0.10151624,0.10151624,0.10151640
0.59750000,0.10075402,0.10075402,0.10075402,0.10075402,0.10075408
0.60000000,0.10000000,0.10000000,0.10000000,0.10000000,0.10000000
0.60250000,0.09925405,0.09925405,0.09925405,0.09925405,0.09925404
0.60500000,0.09851606,0.09851606,0.09851606,0.09851606,0.09851610
0.60750000,0.09778595,0.09778595,0.09778595,0.09778595,0.09778606
0.61000000,0.09706361,0.09706361,0.09706361,0.09706361,0.09706382
0.61250000,0.09634896,0.09634896,0.09634896,0.09634896,0.09634927
0.61500000,0.09564190,0.09564190,0.09564190,0.09564190,0.09564230
0.61750000,0.09494233,0.09494233,0.09494233,0.09494233,0.09494281
0.62000000,0.09425016,0.09425016,0.09425016,0.09425016,0.09425071
0.62250000,0.09356528,0.09356529,0.09356529,0.09356529,0.09356588
0.62500000,0.09288762,0.09288762,0.09288762,0.09288762,0.09288824
0.62750000,0.09221707,0.09221707,0.09221707,0.09221707,0.09221769
0.63000000,0.09155354,0.09155354,0.09155354,0.09155354,0.09155413
0.63250000,0.09089693,0.09089693,0.09089693,0.09089693,0.09089747
0.63500000,0.09024715,0.09024715,0.09024715,0.09024715,0.09024762
0.63750000,0.08960409,0.08960410,0.08960410,0.08960410,0.08960448
0.64000000,0.08896768,0.08896768,0.08896768,0.08896768,0.08896797
0.64250000,0.08833781,0.08833781,0.08833781,0.08833781,0.08833800
0.64500000,0.08771438,0.08771438,0.08771438,0.08771438,0.08771449
0.64750000,0.08709730,0.08709731,0.08709731,0.08709731,0.08709734
0.65000000,0.08648649,0.08648649,0.08648649,0.08648649,0.08648649
0.65250000,0.08588183,0.08588183,0.08588183,0.08588183,0.08588183
0.65500000,0.08528327,0.08528327,0.08528327,0.08528327,0.08528330
0.65750000,0.08469073,0.08469073,0.08469073,0.08469073,0.08469081
0.66000000,0.08410415,0.08410414,0.08410414,0.08410414,0.08410429
0.66250000,0.08352345,0.08352344,0.08352344,0.08352344,0.08352365
0.66500000,0.08294856,0.08294855,0.08294855,0.08294855,0.08294883
0.66750000,0.08237941,0.08237941,0.08237941,0.08237941,0.08237974
