x,BSpline1,f_exact(x)
0.88250000,0.05042421,0.04885161
0.88500000,0.05016968,0.04858939
0.88750000,0.04991516,0.04832924
0.89000000,0.04966063,0.04807115
0.89250000,0.04940611,0.04781508
0.89500000,0.04915158,0.04756101
0.89750000,0.04889706,0.04730893
0.90000000,0.04864253,0.04705882
0.90250000,0.04838801,0.04681066
0.90500000,0.04813348,0.04656442
0.90750000,0.04787896,0.04632009
0.91000000,0.04762443,0.04607764
0.91250000,0.04736991,0.04583706
0.91500000,0.04711538,0.04559834
0.91750000,0.04686086,0.04536144
0.92000000,0.04660633,0.04512635
0.92250000,0.04635181,0.04489306
0.92500000,0.04609729,0.04466155
0.92750000,0.04584276,0.04443179
0.93000000,0.04558824,0.04420378
0.93250000,0.04533371,0.04397749
0.93500000,0.04507919,0.04375291
0.93750000,0.04482466,0.04353001
0.94000000,0.04457014,0.04330879
0.94250000,0.04431561,0.04308923
0.94500000,0.04406109,0.04287131
0.94750000,0.04380656,0.04265501
0.95000000,0.04355204,0.04244032
0.95250000,0.04329751,0.04222722
0.95500000,0.04304299,0.04201570
0.95750000,0.04278846,0.04180575
0.96000000,0.04253394,0.04159734
0.96250000,0.04227941,0.04139046
0.96500000,0.04202489,0.04118510
0.96750000,0.04177036,0.04098124
0.97000000,0.04151584,0.04077888
0.97250000,0.04126131,0.04057798
0.97500000,0.04100679,0.04037855
0.97750000,0.04075226,0.04018056
0.98000000,0.04049774,0.03998401
0.98250000,0.04024321,0.03978887
0.98500000,0.03998869,0.03959514
0.98750000,0.03973416,0.03940280
0.99000000,0.03947964,0.03921184
0.99250000,0.03922511,0.03902225
0.99500000,0.03897059,0.03883401
0.99750000,0.03871606,0.03864711
1.00000000,0.03846154,0.03846154
